index,title,price,category,color,review rating,review number,model,Screen Size,Touch Screen,Storage Type,Total Storage Capacity,Hard Drive Capacity,System Memory (RAM),Processor Speed (Base),Processor Model,Operating System,Battery Life,Brand,Product Height,Product Width,Product Depth,Product Weight
17,"HP - Envy 13.3"" Touch-Screen Laptop - Intel Core i7 - 8GB Memory - 256GB SSD - Natural Silver, Sandblasted Anodized Finish",969.99,laptop,"Natural Silver, Sandblasted Anodized Finish",5.0,1,13-AQ1010NR,13.3 inches,Yes,SSD,256 gigabytes,,8 gigabytes,1.8 gigahertz,Intel 10th Generation Core i7,Windows 10 Home,,HP,0.6 inches,12.1 inches,8.3 inches,2.58 pounds
18,"Dell - Vostro 13.3"" Laptop - Intel Core i5 - 8GB Memory - 256GB SSD - Gray",829.99,laptop,Gray,5.0,1,V53905671GRY,13.3 inches,No,SSD,256 gigabytes,,8 gigabytes,1.6 gigahertz,Intel 8th Generation Core i5,Windows 10 Pro,,Dell,0.6 inches,12.1 inches,8.1 inches,2.58 pounds
19,"HP - 2-in-1 12.3"" Touch-Screen Chromebook - Intel Core M - 4GB Memory - 32GB eMMC Flash Memory - White",419.99,laptop,White,4.5,264,X2 12-F014DX,12.3 inches,Yes,eMMC,32 gigabytes,,4 gigabytes,1 gigahertz,Intel Core m3,Chrome OS,,HP,0.3 inches,11.5 inches,8.3 inches,1.6 pounds
20,"Lenovo - ThinkPad T495s 14"" Touch-Screen Laptop - AMD Ryzen 7 PRO - 16GB Memory - 512GB Solid State Drive - Black","1,474.00",laptop,Black,4.4,,20QJ0007US,14 inches,Yes,SSD,512 gigabytes,,16 gigabytes,2.3 gigahertz,AMD 3rd Generation Ryzen 7 PRO,Windows 10 Pro,,Lenovo,0.66 inches,13 inches,8.9 inches,2.92 pounds
21,"Microsoft - Geek Squad Certified Refurbished Surface Laptop 2 - 13.5"" Touch Screen - Intel Core i5 - 8GB - 256GB SSD - Cobalt Blue",719.99,laptop,Cobalt Blue,5.0,2,GSRF LQN-00038,13.5 inches,Yes,SSD,256 gigabytes,,8 gigabytes,1.6 gigahertz,Intel 8th Generation Core i5,Windows 10 Home,14.5 hours,Microsoft,0.57 inches,12.1 inches,8.79 inches,2.76 pounds
22,"Apple - MacBook Air - 13.3"" Retina Display - Intel Core i5 - 8GB Memory - 256GB Flash Storage - Silver","1,329.99",laptop,Silver,4.8,"1,845",MREC2LL/A,13.3 inches,No,SSD,256 gigabytes,,8 gigabytes,1.6 gigahertz,Intel 8th Generation Core i5,Mac OS,12 hours,Apple,0.61 inches,12 inches,8.36 inches,2.75 pounds
23,"Apple - MacBook Pro 16"" Laptop - Intel Core i9 - 16GB Memory - 1TB SSD - Space Gray","2,899.00",laptop,Space Gray,4.8,,13860128,16 inches,No,SSD,1000 gigabytes,,16 gigabytes,2.3 gigahertz,Intel 9th Generation Core i9,Mac OS,11 hours,Apple,0.6 inches,14.1 inches,9.7 inches,4.41 pounds
24,"Apple - MacBook Pro 16"" Laptop - Intel Core i9 - 16GB Memory - 1TB SSD - Silver","2,899.00",laptop,Silver,4.8,,13860122,16 inches,No,SSD,1000 gigabytes,,16 gigabytes,2.3 gigahertz,Intel 9th Generation Core i9,Mac OS,11 hours,Apple,0.6 inches,14.1 inches,9.7 inches,4.41 pounds
25,"Lenovo - Flex 14IWL 2-in-1 14"" Touch-Screen Laptop - Intel Core i5 - 8GB Memory - 256GB Solid State Drive - Onyx Black",799.99,laptop,Onyx Black,5.0,1,81SQ0000US,14 inches,Yes,SSD,256 gigabytes,,8 gigabytes,1.6 gigahertz,Intel 8th Generation Core i5,Windows 10 Home,8 hours,Lenovo,0.7 inches,12.9 inches,9 inches,3.64 pounds
0,"HP - ENVY x360 2-in-1 15.6"" Touch-Screen Laptop - Intel Core i7 - 8GB Memory - 256GB SSD - Natural Silver, Sandblasted Tinted Anodized Finish",949.99,laptop,"Natural Silver, Sandblasted Tinted Anodized Finish",4.0,,15-cn1076nr,15.6 inches,Yes,SSD,256 gigabytes,,8 gigabytes,1.8 gigahertz,Intel 8th Generation Core i7,Windows 10 Home,,HP,0.7 inches,14.1 inches,9.7 inches,4.72 pounds
1,"ASUS - Zenbook Flip S UX370UA 2-in-1 13.3"" Touch-Screen Laptop - Intel Core i7 - 16GB Memory - 512GB SSD - Royal Blue","1,399.99",laptop,Royal Blue,3.2,5,UX370UAXH74TBL,13.3 inches,Yes,SSD,512 gigabytes,,16 gigabytes,1.8 gigahertz,Intel 8th Generation Core i7,Windows 10 Pro,10.5 hours,ASUS,0.4 inches,12.3 inches,8.6 inches,2.43 pounds
2,"Lenovo - ThinkPad X395 13.3"" Touch-Screen Laptop - AMD Ryzen 7 PRO - 8GB Memory - 512GB Solid State Drive - Black","1,249.00",laptop,Black,4.0,1,20NL000AUS,13.3 inches,Yes,SSD,512 gigabytes,,8 gigabytes,2.3 gigahertz,AMD 3rd Generation Ryzen 7 PRO,Windows 10 Pro,,Lenovo,0.67 inches,12.3 inches,8.55 inches,2.91 pounds
3,"Lenovo - Flex 14API 2-in-1 14"" Touch-Screen Laptop - AMD Ryzen 3 - 8GB Memory - 128GB SSD - Onyx Black",489.99,laptop,Onyx Black,4.5,2,81SS0006US,14 inches,Yes,SSD,128 gigabytes,,8 gigabytes,2.6 gigahertz,AMD 2nd Generation Ryzen 3,Windows 10 Home,10 hours,Lenovo,0.7 inches,12.9 inches,9 inches,3.64 pounds
4,"LG - gram 14"" Laptop - Intel Core i5 - 8GB Memory - 256GB Solid State Drive - White","1,149.99",laptop,White,5.0,7,14Z990-U.AAW5U1,14 inches,No,SSD,256 gigabytes,,8 gigabytes,1.6 gigahertz,Intel 8th Generation Core i5,Windows 10 Home,23.5 hours,LG,0.6 inches,12.7 inches,8.3 inches,
5,"LG - Gram 17"" Laptop - Intel Core i7 - 16GB Memory - 1.024TB SSD - Dark Silver","1,849.99",laptop,Dark Silver,4.2,,17Z90N-R.AAS9U1,17 inches,No,SSD,1024 gigabytes,,16 gigabytes,1.3 gigahertz,Intel 10th Generation Core i7,Windows 10 Home,17 hours,LG,0.7 inches,15 inches,10.3 inches,2.98 pounds
6,"Dell - Latitude 14"" Refurbished Laptop - Intel Core i5 - 8GB Memory - 128GB Solid State Drive - Gray",315.99,laptop,Gray,4.4,5,E6430I526812810,14 inches,No,SSD,128 gigabytes,,8 gigabytes,2.6 gigahertz,Intel 3rd Generation Core i5,Windows 10 Home,5 hours,Dell,1.3 inches,13.9 inches,9.5 inches,4.44 pounds
7,"Dell - Latitude 14"" Refurbished Laptop - Intel Core i5 - 8GB Memory - 500GB Hard Drive - Gray",310.99,laptop,Gray,3.6,10,E6430I526850010,14 inches,No,HDD,500 gigabytes,500 gigabytes,8 gigabytes,2.6 gigahertz,Intel 3rd Generation Core i5,Windows 10 Home,5 hours,Dell,1.3 inches,13.9 inches,9.5 inches,4.44 pounds
8,"HP - 17.3"" Gaming Laptop - Intel Core i7 - 8GB Memory - NVIDIA GeForce GTX 1660 Ti - 256GB Solid State Drive - Shadow Black","1,149.99",laptop,Shadow Black,4.7,3,PV17-CD0030NR,17.3 inches,No,SSD,256 gigabytes,,8 gigabytes,2.6 gigahertz,Intel 9th Generation Core i7,Windows 10 Home,,HP,1 inches,15.9 inches,11.1 inches,6.04 pounds
9,"Samsung - 11.6"" Chromebook - Exynos 5 Octa - 4GB Memory - 16GB SSD - Pre-Owned - Black",97.99,laptop,Black,,,XE503C12.SD,11.6 inches,No,SSD,16 gigabytes,,4 gigabytes,,Non-AMD/Intel processor,Chrome OS,,Samsung,,,,
10,"HP - Probook 14"" Refurbished Laptop - Intel Core i5 - 4GB Memory - 320GB Hard Drive - Black",247.99,laptop,Black,3.0,1,6470B-1400-REFURBISHED,14 inches,No,HDD,320 gigabytes,320 gigabytes,4 gigabytes,2.6 gigahertz,Intel 3rd Generation Core i5,Windows 10,,HP,1.28 inches,13.31 inches,9.11 inches,4.95 pounds
11,"Lenovo - Flex 14IWL 2-in-1 14"" Touch-Screen Laptop - Intel Core i7 - 16GB Memory - 512GB Solid State Drive - Onyx Black","1,099.99",laptop,Onyx Black,3.0,1,81SQ0008US,14 inches,Yes,SSD,512 gigabytes,,16 gigabytes,1.8 gigahertz,Intel 8th Generation Core i7,Windows 10 Home,8 hours,Lenovo,0.7 inches,12.9 inches,9 inches,3.64 pounds
12,"Apple - MacBook Pro 13.3"" Pre-Owned Laptop - Intel Core i5 - 4GB Memory - 320GB Hard Drive - Silver",479.99,laptop,Silver,3.6,60,MC700LL/AB,13.3 inches,No,HDD,320 gigabytes,320 gigabytes,4 gigabytes,2.3 gigahertz,Intel 4th Generation Core i5,Mac OS,7 hours,Apple,0.9 inches,12.8 inches,8.9 inches,4.5 pounds
13,"Apple - MacBook Pro 15.4"" Display with Touch Bar - Intel Core i9 - 32GB Memory - AMD Radeon Pro 560X - 2TB SSD - Space Gray","3,799.99",laptop,Space Gray,5.0,1,13687562,15.4 inches,No,SSD,2000 gigabytes,,32 gigabytes,2.4 gigahertz,Intel 9th Generation Core i9,Mac OS,10 hours,Apple,0.6 inches,13.8 inches,9.5 inches,4.03 pounds
14,"Apple - MacBook Pro 15.4"" Laptop - Intel Core i7 - 4GB Memory - 128GB Hard Drive - Pre-Owned - Silver",469.99,laptop,Silver,2.5,12,MC721LL/A,15.4 inches,No,HDD,128 gigabytes,128 gigabytes,4 gigabytes,2 gigahertz,Intel 2nd Generation Core i7,Mac OS,7 hours,Apple,0.95 inches,14.32 inches,9.82 inches,5.6 pounds
15,"Lenovo - ThinkPad T450 14"" Refurbished Laptop - Intel Core i5 - 8GB Memory - 500GB Hard Drive - Black",421.99,laptop,Black,5.0,2,T450.I5.8.500.PRO,14 inches,No,HDD,500 gigabytes,500 gigabytes,8 gigabytes,2.3 gigahertz,Intel 5th Generation Core i5,Windows 10 Pro,,Lenovo,,,,
16,"OMEN by HP 15.6"" Gaming Laptop - Intel Core i7 - 8GB Memory - NVIDIA GeForce GTX 1650 - 256GB Solid State Drive - Shadow Black","1,049.99",laptop,Shadow Black,4.0,1,15-DC1010NR,15.6 inches,No,SSD,256 gigabytes,,8 gigabytes,2.6 gigahertz,Intel 9th Generation Core i7,Windows 10 Home,13.25 hours,HP,1 inches,14.2 inches,10.4 inches,5.29 pounds
17,"Apple - MacBook Pro 13.3"" Laptop - Intel Core i5 - 8GB Memory - 500GB SSD - Pre-Owned - Silver",522.99,laptop,Silver,3.0,2,MD313LL/A-8GB-500SSD,13.3 inches,No,SSD,500 gigabytes,,8 gigabytes,2.4 gigahertz,Intel 3rd Generation Core i5,Mac OS,7 hours,Apple,0.9 inches,12.8 inches,8.9 inches,4.54 pounds
18,"ASUS - 17.3"" Gaming Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce RTX 2060 - 512GB Solid State Drive - Gunmetal","1,799.99",laptop,Gunmetal,4.9,17,GL704GV-DS74,17.3 inches,No,SSD,512 gigabytes,,16 gigabytes,2.2 gigahertz,Intel 8th Generation Core i7,Windows 10 Home,7 hours,ASUS,1 inches,15.7 inches,10.8 inches,6.37 pounds
19,"CyberPowerPC - Tracer III 17.3"" Gaming Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce RTX 2080 Max-Q - 2TB Solid State Drive - Black","2,199.99",laptop,Black,5.0,1,GT417SVR900,17.3 inches,No,SSD,2000 gigabytes,,16 gigabytes,2.6 gigahertz,Intel 9th Generation Core i7,,,CyberPowerPC,1.1 inches,15.6 inches,10.3 inches,5.18 pounds
20,"HP - 15.6"" Refurbished Touch-Screen Laptop - Intel Core i5 - 8GB Memory - 128GB SSD - Natural Silver, Vertical Brushed Pattern",429.99,laptop,"Natural Silver, Vertical Brushed Pattern",,,15DW0043DXREF,15.6 inches,Yes,SSD,128 gigabytes,,8 gigabytes,1.6 gigahertz,Intel 8th Generation Core i5,Windows 10 Home in S mode,,HP,0.8 inches,14.1 inches,9.5 inches,3.84 pounds
21,"Apple - Macbook® 12"" Pre-Owned Laptop - Intel Core M - 8GB Memory - 512GB Solid State Drive - Gold",799.99,laptop,Gold,4.3,3,MK4N2LL/A,12 inches,No,SSD,512 gigabytes,,8 gigabytes,1.2 gigahertz,Intel Core m3,Mac OS,,Apple,0.52 inches,11.04 inches,7.74 inches,2.03 pounds
22,"Apple - Macbook Air 13"" Refurbished Laptop - Intel Core i5 - 4GB Memory - 64GB Solid-State Drive - Silver",499.99,laptop,Silver,2.0,1,MD628LL/A,13 inches,No,SSD,64 gigabytes,,4 gigabytes,1.7 gigahertz,Intel 3rd Generation Core i5,Mac OS,7 hours,Apple,0.68 inches,12.8 inches,8.94 inches,2.96 pounds
23,"Apple - MacBook Pro - 13"" Display with Touch Bar - Intel Core i5 - 16GB Memory - 512GB SSD - Space Gray","1,899.00",laptop,Space Gray,4.3,,13721046,13.3 inches,No,SSD,512 gigabytes,,16 gigabytes,1.4 gigahertz,Intel 8th Generation Core i5,Mac OS,10 hours,Apple,0.6 inches,12 inches,8.4 inches,3.02 pounds
24,"Apple - MacBook Pro - 13"" Display with Touch Bar - Intel Core i5 - 16GB Memory - 512GB SSD - Silver","1,899.00",laptop,Silver,4.3,,13721110,13.3 inches,No,SSD,512 gigabytes,,16 gigabytes,1.4 gigahertz,Intel 8th Generation Core i5,Mac OS,10 hours,Apple,0.6 inches,12 inches,8.4 inches,3.02 pounds
0,"Lenovo - ThinkPad T490s 14"" Laptop - Intel Core i7 - 8GB Memory - 256GB Solid State Drive - Black","1,589.99",laptop,Black,4.4,,20NX002XUS,14 inches,No,SSD,256 gigabytes,,8 gigabytes,1.9 gigahertz,Intel 8th Generation Core i7,Windows 10 Pro,,Lenovo,0.66 inches,13 inches,8.9 inches,2.98 pounds
1,"Apple - Macbook® 12"" Refurbished Laptop - Intel Core M - 8GB Memory - 512GB Solid State Drive - Space Gray",799.99,laptop,Space Gray,4.3,3,MJY42LL/A,12 inches,No,SSD,,512 gigabytes,8 gigabytes,1.2 gigahertz,Intel Core m3,Mac OS X,,Apple,0.52 inches,11.04 inches,7.74 inches,2.03 pounds
