,title,brand,model,price,rating,review_num,operating_system,battery_life,screen_size,dimensions,Hard_Drive_Capacity,Processor Type,Processor Speed,RAM Memory
18,"Dell G7 17 7790 Gaming Laptop, 17.3'' FHD, Intel Core i5-9300H, NVIDIA GeForce RTX 2060, 8GB RAM, 128 GB SSD + 1TB HDD, Windows 10 Home, G7790-5695GRY-PUS",Dell,G7790-5695GRY-PUS,1195.00,4.1,981,Windows 10 Home 64-bit English,,"17.3""",,128 GB,Intel Core i5,4.1 GHz,8 GB
19,"Legion by Lenovo Y540 17.3"" Gaming Laptop Intel Core i7-9750H Hexa-Core Processor, Nvidia GeForce GTX 1660Ti 6GB Graphics Card, 16GB RAM, 1TB Hard Drive + 256GB PCIe SSD Storage - Black - 81Q4004XUS",Lenovo,81Q4004XUS,1049.00,4.7,38,Windows 10,5 h,"17.3""",,1250 GB,Intel Core i7-9750H,2.6 GHz,16 GB
20,"Acer Chromebook Spin 11 CP311-1H-C1FS Convertible Laptop, Celeron N3350, 11.6"" HD Touch, 4GB DDR4, 32GB eMMC",Acer,CP311-1H-C1FS,199.00,4.4,91,Chrome OS,10 h,11.6 in,8.10 x 11.70 x 0.80 Inches,32 GB,Intel Celeron N3350 Dual-Core Processor with Intel Burst Technology,2.4 GHz,4 GB
21,"Ematic 11.6"" Convertible Touchscreen Laptop with Windows 10 S, 2GB RAM, 32GB Storage, Black (EWT127BL)",Ematic,EWT127BL,149.00,3.7,37,Windows 10,6 h,"11.6""",,32 GB,"Intel Core 2 Duo, Intel",2.4 GHz,2 GB
22,"Refurbished EVOO EV-EL2in1-116-2-RG 11.6"" FHD Touchscreen N3350 1.1GHz 4GB RAM 32GB eMMC Win 10 Home Rose Gold",EVOO,VIPRB-EV-EL2in1-116-2-RG,179.00,3.5,44,Windows 10,,"11.6""",11.90 x 8.30 x 0.70 Inches,32 GB,,,4 GB
23,"HP ENVY x360 15"" FHD Touchscreen, Ryzen 5, 8GB RAM, 128GB SSD Refurbished",HP,3WW57UAR#ABA,439.00,4.3,3,Windows 10,10.5 h,"15.6""",20.40 x 12.00 x 2.80 Inches,128 GB,AMD Ryzen 5,2 GHz,8 GB
24,"EVOO 11.6"" Convertible Touchscreen Laptop, FHD, Dual Core, 4GB Memory, 32GB Storage, Mini HDMI, Front Camera, Windows 10 Home, Silver",EVOO,TEV-L2IN1-116-2-SL,129.00,3.2,113,Windows 10,,"11.6""",,32 GB,Dual Core,,4 GB
25,"HP 15 Graphite Mist Laptop Touchscreen, Intel Core i5-8250U, 1TB HDD + 16GB Intel Optane memory, 4GB SDRAM, DVD, 15-da0053wm",HP,15-da0053wm,498.94,3.8,55,Windows 10,10.25 h,"15.6""",,1 TB,Intel Core i5 - 8th Generation,1.6 GHz,4 GB
26,"HP 14-db0070nr Snow White Touch Chromebook, 14"" HD, AMD A4-9120, UMA Graphics, 32GB, 4GB Memory",HP,5UY53UA#ABA,229.99,3.5,6,Chrome OS,9.25 hours,14.00 in,18.00 x 12.00 x 3.00 Inches,32 GB,AMD A4,2.2 GHz,4 GB
27,"Ematic 11.6"" 2-in-1 Touchscreen Laptop with Windows 10 and Intel Celeron, 4GB RAM, 64 GB Storage, Black (EWT118CB)",Ematic,EWT118CB,109.00,3.6,30,Windows 10,6 h,"11.6""",,64 GB,Intel Core Duo,2.4 GHz,4 GB
28,"Lenovo Flex 11 11.6"" 2 in 1 Laptop, Windows 10, Intel Celeron N4000 Dual-Core Processor, 4GB RAM, 64GB eMMC Solid State Drive, Office 365 1 Year Subscription - 81A70005US",Lenovo,81A70005US,349.99,4.4,915,Windows 10,6 h,"11""",8.00 x 11.60 x 0.70 Inches,64 GB,Intel Celeron,1.1 GHz,4 GB
29,"Ematic 11.6"" Laptop, Touchscreen, 2-in-1, Windows 10, Intel Atom Quad-Core Processor, 2GB RAM, 32GB Flash Storage (EWT117)",Ematic,EWT117BU,149.00,3,208,Windows 10,6.00 h,"11.6""",,32 GB,Intel Atom x5-Z8350,1.3 GHz,2 GB
30,"RCA Viking Pro 10.1"" 2-in-1 Tablet with Folio Keyboard 32GB Android (8.1 Go Edition) - Charcoal - RCT6A03W13F1 C",RCA,RCT6A03W13F1 C,77.99,3.9,633,Android 8.1 (Go edition),6.00 h,"10.1""",10.20 x 6.50 x 1.00 Inches,,,,
31,"Ematic 11.6"" Convertible Touchscreen Laptop with Windows 10 S, 2GB RAM, 32GB Storage, Black (EWT127BL)",Ematic,EWT127BL,149.00,3.7,37,Windows 10,6 h,"11.6""",,32 GB,"Intel Core 2 Duo, Intel",2.4 GHz,2 GB
32,"Smartab 10.1"" 2-in-1 Touchscreen Tablet PC 32GB WiFi Android OS - Black - ST1009XBK",Smartab,ST1009XBK,77.99,3.1,558,"Android 6.0 Marshmallow, Android",,"10.1""",11.50 x 2.60 x 7.80 Inches,,,,
33,"HP ENVY x360 Convertible 15-bq213cl 15.6"" FHD Touch Notebook AMD Ryzen 5 8GB 256GB SSD (Factory Refurbished)",HP,5DT11UAR#ABA,494.21,5,4,Windows 10,10.00 h,15.60 in,9.80 x 14.20 x 0.80 Inches,256 GB,AMD Ryzen 5,2 GHz,8 GB
34,"RCA Galileo Pro 11.5"" 32GB 2-in-1 Tablet with Keyboard Case Android OS, Charcoal",RCA,RCT6543W87DK-5E,87.99,4,3039,Android 6.0 Marshmallow,6 h,"11.5""",,,,,
35,"Acer Chromebook Spin 11 CP311-1H-C1FS Convertible Laptop, Celeron N3350, 11.6"" HD Touch, 4GB DDR4, 32GB eMMC",Acer,CP311-1H-C1FS,199.00,4.4,91,Chrome OS,10 h,11.6 in,8.10 x 11.70 x 0.80 Inches,32 GB,Intel Celeron N3350 Dual-Core Processor with Intel Burst Technology,2.4 GHz,4 GB
